Date,Day,High_Temp,Low_Temp,Precipitation,Brooklyn_Bridge,Manhattan_Bridge,Williamsburg_Bridge,Queensboro_Bridge,Total
6/1,Wednesday,82,71.1,0,4126,7565,9028,5823,26542
6/2,Thursday,75.9,63,0,4161,7229,8764,5833,25987
6/3,Friday,70,64,0.04,1864,3708,4961,3189,13722
6/4,Saturday,82.9,66.9,0.4,3134,4840,6051,4193,18218
6/5,Sunday,70,64.9,0.91,918,1593,2473,1805,6789
6/6,Monday,82,66.9,0,4280,7542,8489,5654,25965
6/7,Tuesday,84,71.1,T,3956,7319,8527,5447,25249
6/8,Wednesday,66,52,0.45,2630,5266,6325,4094,18315
6/9,Thursday,71.1,54,0,3733,6933,7913,5017,23596
6/10,Friday,75.9,57,0,3932,6697,8077,5079,23785
6/11,Saturday,87.1,63,0,2507,4086,5632,3661,15886
6/12,Sunday,82,66.9,0,2684,4475,5513,3855,16527
6/13,Monday,73.9,57.9,0,3696,6952,7913,5108,23669
6/14,Tuesday,79,59,0,4075,7751,8942,5600,26368
6/15,Wednesday,84,64.9,0,3966,7559,9037,5840,26402
6/16,Thursday,72,66,0.22,337,5196,6184,3633,18386
6/17,Friday,75.9,66,0,5354,6589,8106,5179,25228
6/18,Saturday,86,64,0,4804,507,6344,4309,20534
6/19,Sunday,87.1,68,0,4135,4622,5339,4000,18096
6/21,Monday,82,66.9,0,4057,7049,8297,5334,24737
6/21,Tuesday,86,72,T,3773,6851,9008,4969,24601
6/22,Wednesday,84,69.1,0,4428,7495,8788,5680,26391
6/23,Thursday,81,69.1,0,3580,6204,7660,5066,22510
6/24,Friday,82.9,70,0,4283,6660,7925,5572,24440
6/25,Saturday,84.9,66.9,0,3577,4835,6441,4618,19471
6/26,Sunday,86,69.1,0,2895,4767,5834,4050,17546
6/27,Monday,82.9,69.1,0.45,3985,6571,7557,5315,23428
6/28,Tuesday,75,69.1,0.12,3004,4813,6400,4410,18627
6/29,Wednessday,82,68,0.01,4066,7142,8594,5994,25796
6/30,Thursday,84,68,0,3413,7046,8374,5907,24740
